//Vanilla
Invert X|Spiegel X
Monk and Survivor - Unlocked by default<LINE>Hunter - Unlocked once Monk or Surivor's campaign is beaten<LINE>Others - Unlocked once their campaign is beaten|Monnik en Overlever - Meteen ontgrendeld<LINE>Jager - Ontgrendeld nadat de Monnik of de Overlever's campagne is voltooid<LINE>Andere - Ontgrendeld nadat hun campagne is voltooid
The challenge select page is where you craft your expedition. Adjust the number and types of challenges you will aim to complete and see how many points you will earn once the expedition is completed.|De uitdagingsselecteerpagina is waar je jouw expeditie in elkaar zet. Pas het nummer en soort uitdagingen aan die je wilt doen en zie hoeveel punten je krijgt zodra je de expeditie afrondt.
Toggles whether or not the selected challenge is hidden. Hidden challenges are completely random and their requirements are only revealed once all regular challenges have been completed. Hidden challenges are worth twice as many points. An expedition must have at least one non-hidden challenge.|Schakelt in of geselecteerd uitdagingen wel of niet verborgen worden. Verborgen uitdagingen zijn volledig willekeurig en hun benodigdheden worden pas onthuld als alle normale uitdagingen voltooid zijn. Verborgen uitdagingen zijn twee keer zoveel punten waard. Een expeditie moet tenminste één niet-verborgen uitdaging hebben.
Controls how many challenges the expedition will have, up to a maximum of five. A point bonus is applied for multiple challenges.|Controleer hoeveel uitdagingen de expeditie zal hebben, tot een maximum van vijf. Een puntenbonus wordt aangebracht voor meerdere uitdagingen.
Randomizes all challenges at once. Can only be used if no challenge filters are applied.|Kiest willekeurig alle uitdagingen. Kan alleen gebruikt worden als er geen uitdagingsfilters zijn aangebracht.
Indicates your progress to the next level and how much the current expedition will award. If the bar blinks rapidly then completing the expedition will grant a level. The number at the end of the bar displays how many levels will granted.|Laat jouw voortgang tot het volgende level zien en hoeveel de huidige expeditie zal belonen. Als de bar snel knippert, dan zal het afronden van de expeditie je een level geven. Het nummer aan het einde van de bar geeft aan hoeveel levels gegeven zullen worden.
Complete quests to unlock additional content such as perks, burdens and music tracks.<LINE><LINE>'Expedition' quests are completed by undertaking an expedition that meets certain requirements, whilst 'Milestone' quests are completed after reaching a specific goal across multiple expeditions.|Voltooi streeftochten om aanvullende inhoud te ontgrendelen zoals voordelen, lasten en muzieknummers.<LINE><LINE>'Expeditie' streeftochten worden voltooid door een expeditie te ondergaan die aan bepaalde benodigdheden voldoet, terwijl 'Mijlpaal' streeftochten worden voltooid nadat je, verspreid over meerdere expedities, een bepaald doel hebt bereikt.
Highlight a quest to see all of its requirements and rewards. Try to put together an expedition that completes multiple quests at once!|Highlight een streeftocht om al zijn benodigdheden en beloningen te zien. Probeer een expeditie in elkaar te zetten die meerdere streeftochten tegelijkertijd afrondt!
Grants The Hunter's ability to store spears on their back to other characters. A useful buff for players engaging in combat challenges.|Geeft andere personages De Jager's vaardigheid om speren op hun rug te dragen. Een handig voordeel voor spelers die aan gevechtsuitdagingen doen.
Missions are hand-crafted expeditions with specific challenges and starting locations. Some missions may also require you to use a certain Perk or Burden. These cannot be removed, however additional Perks and Burdens can be enabled if desired.|Missies zijn handgemaakte expedities met specifieke uitdagingen en start locaties. Sommige missies benodigen ook het gebruik van een bepaalde Voordeel of Last. Hoewel deze niet verwijderd kunnen worden, kunnen aanvullende Voordelen en Lasten naar wens worden ingeschakeld.
In order to select a mission, you must first unlock all of its requirements. Some quests will require that a mission is completed to grant its rewards. You can also repeat a mission at anytime to strive for the fastest time!|Om een missie te selecteren, moet je eerst alle benodigdheden ontgrendelen. Sommige streeftochten benodigen dat een missie afgerond is voordat de beloningen worden uitgereikt. Je kunt een missie ook op elk moment herhalen om voor de snelste tijd te gaan!
The Jukebox menu lets you listen to your favourite tracks from Rain World and Rain World: Downpour. All music tracks can be unlocked as rewards for completing quests.|Het Jukebox menu laat je naar je favoriete muziek uit Rain World en Rain World: Downpour luisteren. Alle muziek kan worden ontgrendeld als beloning voor het afronden van streeftochten.
Repeats the currently selected track|Herhaalt het huidige geselecteerde nummer
Set a track to play as the menu theme|Stel een nummer in om als menu thema te spelen
Unlocked via quests, perks can be applied to an expedition to even the odds, granting new tools and abilities for making completing challenges easier. See below for a full list of unlockable perks.|Ontgrendeld via streeftochten, voordelen kunnen aangebracht worden aan een expeditie om de kansen gelijk te zetten, en geeft nieuwe hulpmiddelen en vaardigheden die het afronden van uitdagingen makkelijker maakt. Kijk hier beneden voor de volledige lijst van ontgrendelbare voordelen.
Start the expedition with a persistent glow around the player, usually granted by consuming a neuron. Useful in dark environments or when using the BLINDED burden.|Begin de expeditie met een constante gloei rond de speler, die je normaal verkrijgt door een zenuwcel te eten. Handig in donkere omgevingen of als je de VERBLIND last gebruikt.
Start the expedition with a Scavenger Lantern, a portable light source -- and for some slugcats -- a source of vital warmth.|Begin de expeditie met een Lantaarn, een draagbare lichtbron (en voor sommige slakkatten een vitale bron van warmte).
Grants the ability to slow time at will by holding PICK UP and pressing MAP. A visual indicator for the ability's cooldown appears above the cycle timer.|Geeft je de vaardigheid om de tijd op ieder moment te vertragen door OPPAKKEN ingedrukt te houden en op KAART te drukken. Een visuale indicator voor de vaardigheid’s cooldown verschijnt boven de cyclustimer.
re-enables the use of passages to travel to previously visited shelters and recover all karma while doing so. Rather than being granted by achievements, a passage is awarded for each completed challenge.|Schakelt het gebruik van doorgangen weer in om te reizen naar eerder bezochte schuilplaatsen en op hetzelfde moment al je karma te herstellen. In plaats van verkregen te worden via prestaties, wordt een doorgang beloond voor elke afgeronde uitdaging.
Start the expedition with a Vulture Mask, helping to keep hostile creatures at bay, or make them fleeing targets.|Begin de expeditie met een Gierenmasker, die helpt vijandige wezens weg te houden, of hen tot vluchtende doelwitten maakt.
Start the expedition with reinforced karma. Reinforced karma is the only way to prevent permadeath at the lowest karma level. If the cycle ends in failure, a karma flower will appear at the site of death. Will be permanently lost if not recovered.|Start de expeditie met beschermde karma. Beschermde karma is de enige manier om permadood op het laagste karmalevel te voorkomen. Als je de cyclus faalt, zal een Karmabloem verschijnen op de plek van je dood, die permanent verloren raakt als het niet wordt gepakt.
Bestows the Spearmaster's dual-wielding ability to other characters. Being able to carry a spear in each hand greatly increases the speed at which you can deal damage.|Geeft de Speermeester’s vaardigheid om twee speren tegelijk te dragen aan andere personages. Dit vergroot de snelheid waarmee je schade kunt aanbrengen.
Start the expedition with a Singularity Bomb, a devastating weapon that can eliminate even the toughest of creatures, just make sure not to get caught in the blast.|Begin de expeditie met een Singulariteitsbom, een vernietigend wapen dat zelfs de sterkste wezens kan elimineren. Zorg er alleen voor dat je zelf niet in de explosie terechtkomt.
Withstand explosive encounters by borrowing The Artificer's explosion immunity. Useful if unfavored by the Scavengers, or for surviving situations where an explosion may be a last resort.|Doorsta explosieve confrontaties door De Schepper’s explosie immuniteit te lenen. Handig als je een ongunstige relatie hebt met de Schooiers, of voor het overleven van situaties waar een explosie een laatste uitweg is.
Grants The Gourmand's crafting ability to other characters. Experiment with objects you find by combining them into new ones to help in different situations. Activate by holding UP and PICK UP with an item in each hand.|Geeft andere personages De Bourgondiër's ambachts vaardigheid. Experimenteer met voorwerpen die je vindt door ze te combineren tot nieuwe voorwerpen die helpen in verschillende situaties. Activeer door tegelijkertijd OMHOOG en OPPAKKEN ingedrukt te houden met een voorwerp in iedere hand.
Increases the chosen characters running and jumping abilities by borrowing The Rivulet's high agility, letting you cross great distances with ease. Less efective for larger characters.|Verhoogt de gekozen personage's rennen en springen vaardigheden door De Waterrat's hoge wendbaarheid te lenen, waardoor je makkelijk grote afstanden kunt overbruggen. Minder effectief voor grotere personages.
Start the expedition with the Joke Rifle. Originally shown off as an April Fools joke, the Rifle makes its way into Rain World: Downpour as a useful tool. Experiment by loading different items as ammo by holding the PICK UP button, and fire the Rifle with the THROW button.|Begin de expeditie met het Grappen Geweer. Eerst een 1 april grap, het Geweer maakt zijn weg in Rain World: Downpour als een handig werktuig. Experimenteer door verschillende voorwerpen te laden als ammo door de OPPAKKEN knop ingedrukt te houden en vuur het geweer met de GOOIEN knop.
Shrouds the entire world in an endless night, obscuring danger in every shadow. A light source will be vital for survival.|Dekt de hele wereld in een eindeloze nacht en verstopt gevaar in elke schaduw. Een lichtbron zal vitaal zijn om te overleven.
Removes the safety net that karma provides, triggering permadeath for any failure. Made only slightly less punishing with the use of the Karma Flower perk.|Verwijdert het veiligheidsnet dat karma geeft, triggering permadood bij elke mislukking. Wordt alleen een klein beetje minder straffend gemaakt met de Karmabloem perk.
Makes the player public enemy number one. All hostile creatures in the region will know your location at all times, making standing still a bad choice.|Maakt de speler publieke vijand nummer één. Alle vijandige wezens weten ten alle tijden jouw locatie, wat stilstaan een slechte keuze maakt.
Something stalks you through the world, endlessly searching for its target. Though not impossible to defeat, it will always return.|Iets stalkt je door de wereld, eindeloos zoekend naar hun doelwit. Hoewel het niet onmogelijk is om het te verslaan, komt het altijd weer terug.

//Jolly Co-op
jollycoop-name|Vrolijke Co-op
JOLLY COOP|VROLIJKE CO-OP
Difficulty|Moeilijkheid
Color Mode|Kleurmodus
INFO_COLOR|Er zijn drie kleur opties:<LINE><LINE>- Standaard: De originele kleuren voor elke slakkat.<LINE>- Automatisch: Laat het spel verschillende kleuren selecteren voor elke slakkat.<LINE>- Aangepast: Pas de kleuren aan met sliders.
Input Help|Input Help
Spears hit|Speren raken
Players: <num_p>|Spelers: <num_p>
Friendly lizards|Vriendelijke hagedissen
Player <p_n>|Speler <p_n>
Camera Input|Camera Input
Local co-op!|Lokale co-op!
ADJUST_COLOR|Pas de kleur modus aan
COLOR_BUTTON|Kleur
REFER_MANUAL|Lees de handleiding voor meer informatie
INTRODUCTION|INTRODUCTIE
DIFFICULTIES|MOEILIJKHEIDSSTANDEN
PIGGYBACKING|MEELIFTEN
INFO_DIFF|Er zijn drie moeilijkheidsstanden beschikbaar in Vrolijke Co-op:<LINE><LINE>- Op de makkelijke stand hoeft maar één speler een schuilplaats te bereiken.<LINE>- Op de normale stand moeten alle spelers (dood of levend) de schuilplaats bereiken. Zorg ervoor om je gevallen teammaatjes te dragen!<LINE>- Op de moeilijke stand moet elke speler in leven zijn om de cyclus af te ronden.<LINE><LINE>Onthoud dat om te slapen, alle spelers in dezelfde schuilplaats moeten zijn, onafhankelijk van de moeilijkheid!
INFO_CAMERA|In Vrolijke Co-op wordt de camera gedeeld door alle spelers. Tijdens het spelen, zal er rechtsonder een pijl laten zien wie de camera op dat moment volgt.<LINE>Om de camera te re-target naar jouw speler, druk je op de KAART knop.<LINE><LINE>De Camera Input optie configureert hoe snel je moet drukken, en is vooral een toegankelijkheids optie!
Spears miss|Speren missen
No stealing|Geen stelen
INFO_DIFF_DESCRIPTION|Klik voor meer informatie over moeilijkheids opties
description_spears_on|Speren die je gooit, zullen andere spelers missen
MANUAL_INTRODUCTION_1|Vrolijke Co-op laat je de verhaalscampagne en andere spelmodussen spelen met je vrienden! Selecteer jouw favoriete slakkat en ervaar de reis met tot wel 4 spelers.
MANUAL_PIGGYBACKING_1|In Vrolijke Co-op, als je de <PICK UP> knop ingedrukt houdt naast een speler die aan het bukken is, laat je hen meeliften op je rug. Dit kun je ook doen bij spelers die geïncapaciteerd zijn.
MANUAL_PIGGYBACKING_2|Je kunt spelers die op je rug zitten, gooien om hoger gelegen plekken of voorwerpen te bereiken. Spelers die gedragen worden, kunnen er ook op elk moment vanaf springen.
INFO_CAMERA_DESCRIPTION|Klik voor meer informatie over camera opties
INFO_COLOR_DESCRIPTION|Klik voor meer informatie over kleur opties
DIFFICULTY INFORMATION|MOEILIJKHEIDS STANDEN INFORMATIE
description_spears_off|Speren die je gooit, zullen andere spelers raken
CAMERA INFORMATION|CAMERA INFORMATIE
description_pup_on|Speler <p_n> zal een welp zijn
description_hud_on|Verberg speler namen en andere indicaties
MANUAL_SURVIVING_1|Om succesvol te slapen, moeten alle levende spelers in dezelfde schuilplaats zijn, onafhankelijk van de moeilijkheid! Dit geldt ook voor andere gebeurtenissen, zoals het passeren van poorten.
MANUAL_SELECTING_1|Je kunt mixen en combineren als welke slakkatten je speelt! Eerst selecteer je een campagne zoals normaal, wat de wereld en het verhaal bepaalt (zoals benodigd voedsel, wezens die verschijnen, enz.).
MANUAL_SELECTING_2|Dan breng je het Vrolijke menu op en selecteer je het uiterlijk en vaardigheden van elke individuele speler! Je kunt ook kiezen om als een welp te spelen.
COLOR INFORMATION|KLEUR INFORMATIE
Vanilla shortcuts|Vanilla sluipwegen
Friendly stealing|Vriendelijk stelen
ADJUST_DIFFICULTY|Pas de moeilijkheid aan
SURVIVING A CYCLE|EEN CYCLUS OVERLEVEN
MANUAL_POINTING_1|Je kan communiceren met andere spelers en Schooiers door te wijzen.
MANUAL_POINTING_2|Om te wijzen, dubbel-klik en houd de <MAP> knop ingedrukt. Terwijl je de <MAP> knop ingedrukt houdt, beweeg je in een richting om te bepalen waar je naar aan het wijzen ben.
MANUAL_POINTING_3|Wijzen naar een wezen of voorwerp markeert het. Schooiers zullen ook kijken naar waar je aan het wijzen bent!
Adjust the number of players|Pas het aantal spelers aan
description_camera_toggle_on|Wanneer je gevolgd wordt door de vragen zal het opnieuw aanvragen ervan het sturen naar de volgende speler
CLOSE|SLUITEN
RESET|RESETTEN
PLAYER_CLASS_INSTRUCTION_MAIN|Om het Speler 1 personage te veranderen, ga je een andere verhaalscampagne.
description_camera_toggle_off|De camera aanvragen wanneer je al gevolgd wordt, zal niets doen
description_smart_shorcuts_on|(Aanbevolen) Wanneer je van kamer wisselt, wacht je op andere spelers in sluipwegen
PLAYER_CLASS_INSTRUCTION|Selecteer het uiterlijk en krachten voor Speler <p_n>.
PLAYER_CUSTOM_NAME_DESCRIPTION|Klik om de naam van Speler <p_n> te veranderen.
description_smart_shorcuts_off|Sluipwegen zullen zoals normaal werken
description_friendlylizards_on|Getemde Hagedissen zullen vriendelijk zijn naar andere spelers
EASY|MAKKELIJK
HARD|MOEILIJK
FAST|SNEL
SLOW|LANGZAAM
AUTO|AUTO
SHOW|LAAT ZIEN
Body|Lichaam
Eyes|Ogen
NORMAL|NORMAAL
CUSTOM|AANGEPAST
HUD on|HUD aan
CAMERA|CAMERA
DEFAULT|STANDAARD
HUD off|HUD uit
description_pup_off|Speler <p_n> zal een normale leeftijd zijn
description_hud_off|Laat speler namen en andere indicators zien
COLOR CONFIGURATION|Kleur configuratie
JOLLY_MANUAL_BUTTON|Handleiding
SELECTING A SLUGCAT|EEN SLAKKAT SELECTEREN
MANUAL_DIFFICULTY_1|Er zijn drie moeilijkheidsstanden beschikbaar in Vrolijke Co-op:
MANUAL_DIFFICULTY_2|- Makkelijk: maar één speler hoeft een schuilplaats te bereiken.
MANUAL_DIFFICULTY_3|- Normaal: alle spelers (dood of levend) moeten de schuilplaats bereiken. Zorg ervoor om je gevallen teammaatjes te dragen!
MANUAL_DIFFICULTY_4|- Moeilijk: elke speler moet nog leven om de cyclus af te ronden.
description_friendlylizards_off|Getemde hagedissen zullen onbekende spelers aanvallen
description_friendlystealing_on|Spelers kunnen de voorwerpen uit de handen van andere spelers stelen
description_friendlystealing_off|Schakelt speler-tot-speler stelen uit
Camera cycles|Camera wisselt
ADJUST_CAMERA|Pas de camera toegankelijkheid aan
Camera doesn't cycle|Camera wisselt niet
Smart shortcuts|Slimme sluipwegen
Vanilla lizards|Vanilla hagedissen
MANUAL_CAMERA_1|In Vrolijke Co-op wordt de camera gedeeld door alle spelers, en volgt het ten alle tijden een specifieke speler. Druk op de <MAP> knop om de camera terug naar jou te richten.
MANUAL_CAMERA_2|Je kunt instellen hoe snel de <MAP> knop ingedrukt moet worden in het Vrolijke Co-op menu.
MANUAL_CAMERA_3|Als de camera wisseling optie is ingeschakeld in het Vrolijke menu, zal op de <MAP> knop drukken terwijl de camera je al volgt in plaats daarvan de volgende speler volgen.
MANUAL_CAMERA_4|De indicator rechtsonder laat een pijl zien bij de speler die op het huidige moment gevolgd wordt door de camera.
MANUAL_CAMERA_5|Op bepaalde momenten in een campagne kan de camera vastgezet worden op een bepaalde speler; dit wordt aangegeven door een speciaal icoon.
HUE|Toon
SAT|Verzad.
LIT|Licht
POINTING|WIJZEN

//MMF
Strong and quick, requiring a steady diet of meat. But the stomach wont be your only<LINE>concern... this path is one of extreme peril where every cycle eats away at an ominous countdown.|Sterk en snel, en benodigd een constant dieet van vlees. Maar je maag zal niet je enige zorg<LINE>zijn... dit pad is er een van extreem gevaar, waar elke cyclus onheilspellend wordt afgeteld.
Custom colors|Aangepaste kleuren
tips-distract|Een roofdier dat de weg blokkeert kan op veel manieren overkomen worden. Creëer een<LINE>afleiding, lok ze weg met geluid, gebruik een opoffering dat ze kunnen eten<LINE>in plaats van jou, enz.
tips-hoarding|Zelfs als je buik gevuld is, kun je extra spullen verstoppen<LINE>in je schuilplaats om toekomstige cyclussen wat gemakkelijker voor jezelf te maken.
tips-prepared|Reis niet met lege handen. Het onmiddellijk toegang hebben tot voorwerpen kan het<LINE>verschil uitmaken tussen leven of dood… je weet nooit wanneer je ze nodig zult hebben.
tips-backflip|Wissel snel van de richting waarin je beweegt en druk tegelijkertijd op de springen<LINE>knop. Dit initieert een backflip, die iets hoger is dan een<LINE>gewone sprong. Backflips kunnen ook gebruikt worden om een rol te initiëren.
tips-vertpole|Op het hoogste punt van een backflip, gooi een speer neerwaarts om een verticale paal in de grond<LINE>te maken. Gebruik dit om het aantal plekken dat je kan bereiken nog verder uit te breiden.
tips-wanderer|De Dwaler heeft iedere uithoek van de wereld gezien en al dat het te bieden heeft.<LINE>De reis er buiten is alleen maar een andere stap voor hen.
Body|Lichaam
Eyes|Ogen
HIGH|HOOG
Restore Default|Herstel Standaard Configuratie
Back to options|Terug naar opties
tips-spearstick|Speren kunnen in oppervlaktes gestoken worden om geïmproviseerde palen te maken. Gebruik dit<LINE>om nieuwe routes te openen en naar voorheen ontoegankelijke locaties te gaan.
tips-batharvest|Stoot vleervliegen uit de lucht met projectielen om het makkelijker te maken om ze te vangen.<LINE>Doorsteek ze met speren om er meerdere tegelijk te vangen.
tips-reputation|Jouw acties beïnvloeden jouw reputatie in de ecosysteem’s bevolking.<LINE>Wees vrijgevig, zelfs naar jouw vijanden en misschien wordt de gunst later teruggekeerd.<LINE>Anders wordt je door allen bejaagd.
tips-throwboost|Een voorwerp gooien terwijl je in de lucht bent, geeft je een kleine boost in de richting waarin je het gegooid hebt.<LINE>Gebruik dit om de horizontale afstand die je met je sprongen aflegt te vergroten.
tips-tunnelturn|Terwijl je door een nauwe gang kruipt, houdt de springen knop en tegenovergestelde richting ingedrukt om om te keren.<LINE>Je beweegt sneller als je in dezelfde richting kruipt als waar je naar kijkt.
tips-powerthrow|Een speer vooruit gooien tijdens een slide geeft de speer extra snelheid<LINE>en impact. Dit kan wezens voor een langere tijd verlammen en kan<LINE>door bepaalde verdedigingen heen steken.
tips-superslide|Gooi een object naar achteren tijdens een slide om de afgelegde afstand<LINE>dramatisch te vergroten.
tips-wallpounce|Een krachtsprong uitvoeren in de richting van een muur en op de springen knop drukken op het moment van impact terwijl<LINE>je in de richting van muur drukt, vergroot de terugkaatsende kracht van je muursprongen sterk.
HUE|KLEUR
SAT|VERZAD.
LIT|LICHT
LOW|LAAG
CHOOSE|KIEZEN
MEDIUM|MEDIUM
Oh no.|Oh nee.
Analog Sensitivity|Analoog Gevoeligheid
tips-deathrecovery|De voedselketen is complex. Als je geluk hebt, zelfs nadat je gegrepen bent door een wezen,<LINE>kunnen ze later hun greep op jou kwijtraken als ze in de penarie raken of zelf opgegeten worden!
tips-utilitycreats|Niet alle wezens zijn roofdieren die vermeden moeten worden. Er zijn ook vele wezens<LINE>die je van pas kunnen komen tijdens je reis.
FPS Limit|FPS Limiet
Unlimited|Ongelimiteerd
tips-drop|Tegelijkertijd op omlaag en de oppakken knop drukken, laat je het voorwerp in je hand op de grond<LINE>plaatsen zonder het te gooien. tips-roll|Terwijl je een grote afstand valt, houd diagonaal neerwaarts ingedrukt om een rol te initiëren<LINE>op het moment van contact met de grond. Dit verkleint de impact van de val en geeft<LINE>wat extra mobiliteit.
tips-swim|Beweeg in een gecontroleerde kronkelende beweging onderwater om je zwemsnelheid te<LINE>verbeteren. Kronkel je lichaam ritmisch op en neer, of links en rechts.
tips-monk|De Monnik is het pad van de prooi, dat verzameld in de wildernis van de wereld om te overleven,<LINE>maar dit pad garandeert geen veiligheid in een wereld van roofdieren.
Quality|Kwaliteit
Backgrounds|Achtergronden
tips-crouch|Je hoeft omlaag niet ingedrukt te houden om gebukt te blijven. Druk een keer op omlaag om in de kruipende staat<LINE>te gaan, en druk op omhoog om weer rechtop te staan.
tips-escape|Wanneer mogelijk, is het beter om confrontatie te vermijden en te ontsnappen aan gevechten.<LINE>Veel roofdieren zijn krachtig en gevaarlijk, dus wordt niet overmoedig.
tips-cheese|Gebruik pijpen om van plek te wisselen met een roofdier dat jou aan het achtervolgen is. Dit kan een<LINE>makkelijke manier zijn om ze af te schudden.
tips-cannon|Druk op de springen knop terwijl je uit een pijp komt om jezelf snel naar<LINE>buiten te schieten.
tips-martyr|De Lijder verwerpt hun eigen overleving, wegkwijnend totdat hun lichaam tot stof vergaat.
tips-hunter|De Jager is het pad van het roofdier, maar in deze harde en ongevoelige wereld garanderen<LINE>de buiten van hun jacht niet altijd hun overleving.
tips-outlaw|De Vogelvrije leeft het leven op het strijdveld. Allen die in de buurt komen, worden geslagen, zowel vriend als vijand.
tips-friend|De Vriend omarmt de ander en het onbekende. De wereld is hard en onvergeeflijk,<LINE>maar samen kan er comfort en bescherming worden gevonden.
Old tongue controls?|Oude tong controls?
Enable wallpouncing?|Schakel muur-aanvalsssprongen in?
Enable speedrun timer?|Schakel de speedrun timer in?
CONFIGURE TITLE SCREEN|CONFIGUREER TITEL SCHERM
Keep your friend safe!|Houd je vriend veilig!
I must resume my work.|Ik moet verder met mijn werk.
Enable shelter item transport?|Schakel schuilplaats voorwerp transport in?
<CapPlayerName>, are you okay?|<CapPlayerName>, gaat het goed?
Enable slug senses?|Schakel slakkenzintuigen in?
CONFIGURE SUB MENUS|CONFIGUREER SUB MENUS
Show tips between cycles?|Laat tips tussen cyclussen in zien?
Enable Developer Commentary?|Schakel Ontwikkelaar’s Commentaar in?
Change graphics quality|Verander de kwaliteit van de beelden
Take your pet with you.|Neem je huisdier met je mee.
Change menu background images|Verander menu achtergrond afbeeldingen
Display a speedrun timer at the top of the screen during gameplay?|Laat tijdens het spelen een speedrun timer zien aan de bovenkant van het scherm?
Activate tongue abilities with the throw button instead of the jump button?|Activeer tong vaardigheden met de gooien knop in plaats van de springen knop?
Allow passages to transport key items in your shelter to your new destination?|Laat doorgangen sleutel voorwerpen in je schuilplaats naar je nieuwe bestemming transporteren?
Allow nearby creatures and key items to be visible as icons on slugcat's memory map?|Laat dicht bijzijnde wezens en sleutel voorwerpen als zichtbare iconen op de slakkat’s geheugen kaart verschijnen?
Enable slugcat's wall pouncing ability from legacy Rain World versions?|Schakel de slakkat’s muur krachtsprong vaardigheid in van oudere Rain World versies?
Spawn developer commentary collectables in the single player campaigns?|Laat ontwikkelaar’s commentaar verzamelbare objecten verschijnen in de een-speler campagnes?
Periodically show survival hints and explain gameplay mechanics for new players?|Laat af en toe overlevings hints zien en leg spel mechanieken uit voor nieuwe spelers?
Configure the background image used on the title screen|Configureer de achtergrond afbeelding die op het titelscherm wordt gebruikt
Configure the background image used in the sub menus|Configureer de achtergrond afbeelding die in sub menu’s wordt gebruikt
Wiggling around quickly might startle this creature.|Hard rondspartelen kan dit wezen afschrikken.
I am afraid to ask how you brought your friend here.|Ik ben bang om te vragen hoe jij je vriend hier binnen hebt gebracht.
tips-clock|Op de kaart knop drukken laat je ook andere informatie zien zoals jouw voedsel bar.<LINE>De cirkel van stippen linksonder representeren de tijd die er over is tot de regen komt.<LINE>Houd het goed in de gaten!
tips-rocks|Stenen zijn misschien geen dodelijk wapen, maar hebben vele praktische gebruiken. Ze<LINE>kunnen afleiden, afweren, ontwapenen, verlammen, zwakke plekken laten zien, wezens van palen en<LINE>richels stoten, enz!
tips-audio|Geluiden zijn vaak je eerste teken van inkomend gevaar, zelfs voordat<LINE>het gevaar zichtbaar is. Luister aandachtig.
tips-slide|Druk diagonaal neerwaarts plus de springen knop terwijl je beweegt om een slide te initiëren.<LINE>Je zal glijdend over de grond voor een korte tijd snel afstanden<LINE>afleggen.
tips-noise|Wezens kunnen je aanwezigheid niet alleen via zicht detecteren, maar ook via geluid. Be<LINE>mindful about being too loud, otherwise you may attract unwanted attention.
tips-saint|De Heilige is een pad van pacifisme. Om pijn aan een ander aan te brengen is om pijn aan de zelfe aan te brengen.
tips-nomad|De Nomade ervaart een constant veranderende wereld en leeft ieder leven als stappen in een<LINE>eindeloze reis naar een onbekend doel.
Calm down!|Kalmeer!
tips-pipeflash|Pijp ingangen flitsen wanneer er gevaar is aan de andere kant. De kleur van de flits<LINE>kan een aanwijzing zijn voor het soort gevaar.
tips-foodtypes|Vleervliegen en hangend fruit zijn verre van de enige bronnen van voedsel. Sommige planten<LINE>en wezens zijn eetbaar, maar alleen onder bepaalde condities. Experimenteer.
tips-handorder|Het voorwerp in je rechterhand is het primaire voorwerp dat als eerste gebruikt of gegooid wordt.<LINE>Druk twee keer op de oppakken knop om voorwerpen tussen je twee handen te wisselen.
tips-slideleap|Druk op springen tijdens een slide of een rol om het in een lange sprong te ketenen. Gebruik dit om<LINE>je mobiliteit te maximaliseren en snel grote afstanden af te leggen.
tips-turnboost|Snel van bewegingsrichting veranderen, geeft je kort een kleine snelheidsboost in de nieuwe richting.<LINE>Blijf hierna springen om de snelheidsboost langer te behouden.
tips-chieftain|Het Opperhoofd omarmt de kracht en gemeenschap in het onbekende. Ze zijn deel<LINE>geworden van deze wereld, en met hun nieuwe banden, zullen ze die overleven.
tips-swallow|Kleine, niet-eetbare voorwerpen kunnen veilig in je maag bewaard worden door<LINE>de oppakken knop voor een paar seconden ingedrukt te houden. Houd het een tweede keer ingedrukt om<LINE>het voorwerp  uit te spugen.
tips-breathe|Besteed aandacht aan je ademhaling voordat je onderwater gaat. Als je zwaar ademhaalt,<LINE>sta stil en geef jezelf een seconde om op adem te komen.
tips-polehop|Op de springen knop drukken vlak voordat je een horizontale paal aanraakt,<LINE>laat je op de paal springen. Dit kan meerdere keren herhaald worden om snel over palen te hoppen.
tips-scholar|De Leergierige probeert de wereld te begrijpen zoals het ooit was. Kijkend in een<LINE>gekristaliseerd verleden, en vindt er nieuwe mening in.
tips-deathpenalty|Dood maakt weinig uit tot je klaar bent om verder te gaan. Gooi je voorzichtigheid overboord en experimenteer,<LINE>ontdek, leer de opmaak van het land, leer<LINE>voedsel locaties, enz.
tips-shelterstore|Voorwerpen verstopt in schuilplaatsen blijven daar tussen cyclussen in, en blijven daar zelfs<LINE>als je het gebied verlaat. Ze zijn de enige plek waar je kostbaarheden veilig zijn<LINE>voor de regen!
tips-dragonslayer|De Drakendoder omarmt de jacht. Ze hebben de beesten van deze wereld tot aan hun hielen gebracht.
What did you do!?|Wat heb je gedaan!?
Stop it! Go away!|Stop dat! Ga weg!
tips-tunnelboost|Druk op de springen knop terwijl je in een krappe gang kruipt om jezelf<LINE>een kleine snelheidsboost te geven.
tips-slidecancel|Tijdens een slide, druk snel op de springen knop plus de tegenovergestelde richting waarvan<LINE>je heen gaat. Dit annuleert de slide en brengt je terug naar waar je begon.
The use of some objects may not be obvious at first glance, experiment with everything you find!|Het gebruik van sommige voorwerpen is op het eerste ogenblik niet vanzelfsprekend, experimenteer met alles wat je vind!
There are many paths to explore in this world.|Er zijn vele paden te ontdekken in deze wereld.
If you are struggling, try returning to a previous region.|Als je het moeilijk hebt, kun je proberen terug te keren naar een vorig gebied.
You may find a new path forward, or discover something that makes your survival here easier.|Je vind misschien een nieuw pad vooruit, of ontdekt iets dat het overleven hier makkelijker maakt.
